answer,choices,question,subject
1,"[""making happy faces"", ""occupying more space"", ""cheerleaders"", ""banana ice cream""]",Water solidifies in crevices in the asphalt and splits it apart by,
3,"[""west."", ""east."", ""south."", ""north.""]",The floating arrow on a compass always points towards the,
2,"[""Playing outside all alone"", ""Running around with my hands in the air."", ""giving out an even amount of Fruit Loops to each of my classmates"", ""Taking all the Fruit Loops to myself""]",An example of a disperser could be,
2,"[""energy newly derived from radiation"", ""energy derived from its motion"", ""energy  that can be seen and used to see the matter around us"", ""solar and wind energy""]",What does electrical energy become when a light bulb is turned on?,
3,"[""love"", ""dating advice"", ""happiness"", ""vibrance""]",Coral gets some help with algae for their,
0,"[""Large [Collect]"", ""Long"", ""Small"", ""Short""]",Fish move best through water when their fins are?,
1,"[""money"", ""shiny glass"", ""lasers"", ""people""]",A telescope uses what to redirect light,
1,"[""construction"", ""Violent tremors"", ""earthworms"", ""tornados""]",What causes rock layers to fold on top of each other?,
1,"[""hibernation"", ""flip-flops"", ""Christmas"", ""heavy coats""]",A sign of the spring season could be,
3,"[""spritzing the stem of the plant"", ""putting the plant in the rain"", ""using a sprinkler system"", ""pouring water on soil""]","When a plant is watered, spraying water on leaves is less useful than",
3,"[""live longer"", ""flourish"", ""thrive"", ""acquire characteristics""]","If a bird lives in a dangerous place with fires and predators, a bird will likely",
3,"[""nocturnal access"", ""prickly thorns"", ""dull subdued colors"", ""an optimal angle""]",Flowers make themselves attractive to hummingbirds with,
2,"[""rivers"", ""planets"", ""astral star"", ""mountains""]",What is the source of energy for life on earth?,
0,"[""the space inside a container"", ""the height of a container"", ""the weight of a container"", ""the length of a container""]",Millilters mL is a unit generally used for values between 1 and 1000 to measure,
0,"[""meadow"", ""sandy area"", ""arctic"", ""desert""]",A storm moving over the earth will dump more rain on a,
2,"[""Run a mile"", ""Swim"", ""bake a bagel"", ""Rock climb""]",I can use electrical energy to,
2,"[""an old cup of coffee"", ""a tall glass of milk"", ""pasta water bubbling on the stove"", ""a warm cup of cocoa""]",A hot liquid would be,
0,"[""knows orientation"", ""Tracks People"", ""Cleans"", ""Invented in 1905""]",A compass,
3,"[""beaches are opened"", ""humans go naked"", ""birds lay eggs"", ""roses die""]",Once the grounds frost over and the air grows chilled,
1,"[""rough rocks"", ""river movement"", ""smoothness"", ""fish movement""]",The below surface pebbles of the columbia river are of non rough edges because of?,
3,"[""become vegetarians"", ""increase in population"", ""have more food"", ""have lower numbers""]",Predators which rely on small rodents for food will do what when rodents all die off?,
1,"[""planting rows of carrots and peas next to one another"", ""planting peas one season then carrots the next"", ""planting a field of corn with different types in it"", ""tilling the soil in between crops""]",What is an example of the fact that crop rotation renews the soil?,
3,"[""dormant cycle"", ""lot of nothing"", ""lower temperature"", ""vapor expulsion""]",adding a direct flame to container of acid causes a,
2,"[""soap."", ""vinegar."", ""table salt."", ""baking soda.""]","Sodium (Na) and chlorine (Cl) combine to form sodium chloride (NaCl), which is commonly known as",
0,"[""sleeping hours"", ""sun time"", ""day"", ""daytime""]",the Earth rotating on its axis causes stars to appear to move across the sky when?,
3,"[""are unable to decay"", ""are able to regrow themselves"", ""are broken down for good"", ""broke passed will decay""]",The many trees on a forest floor,
1,"[""camouflage"", ""obtaining sustenance"", ""home"", ""decoration""]",What is one use of a spider's web?,
0,"[""water"", ""table salt"", ""iron oxide"", ""carbon dioxide""]",Which nongaseous compound can be made from two elements that are gases at room temperature?,
1,"[""they are escaping predators"", ""their ancestors did the same thing"", ""they heard on the news that war was coming"", ""They are getting away from the hot sun""]",When an animal goes into a den during cold weather they probably did this because,
3,"[""blood cell"", ""nerve cell"", ""brain cell"", ""egg cell""]",A new mutation that occurs in which type of cell can be passed on to offspring?,
0,"[""Lichens"", ""Grasses"", ""Trees"", ""Shrubs""]",The growth of which of the following usually occurs first in primary succession on a bare rock?,
2,"[""santa claus"", ""school children"", ""tasty morsels"", ""direction in life""]",Dolphins use echolocation to hunt for,
2,"[""The south is always warmer than the north."", ""There is less land than water in the south."", ""North America receives less direct sunlight during the winter."", ""When it is December in North America it is June in South America.""]",Why is it winter in North America when it is summer in South America?,
2,"[""ions and electrons"", ""electrons and protons"", ""protons and neutrons"", ""neutrons and electrons""]",What is the composition of the nucleus of an atom?,
0,"[""it can be drunk from"", ""it is very thin"", ""it holds up bright green leaves"", ""it can hide in grass""]","A cacti is basically an enormous stem, which means that",
2,"[""Orion"", ""the Moon"", ""Jupiter"", ""Pluto""]","A planet rotating causes cycles of day and night on that planet, like on",
1,"[""its covered in prisms"", ""its covered in white precipitation"", ""its always raining there"", ""the ground is completely covered with white animals""]",The arctic environment mostly reflects all colors from the closest star because,
2,"[""My emotions"", ""My mind"", ""planetoids"", ""In a bath""]",Rain also occurs in other places like,
3,"[""it is coming from a school"", ""it is coming from a mystery place"", ""it is coming from santa claus"", ""it is coming from a merchant""]",a retailer gets an order of aluminum delivered weekly. Where is the aluminum likely coming from?,
2,"[""higher levels of salinity in the ocean water"", ""stronger currents at the surface of the ocean"", ""cooled magma found on the edge of the plates"", ""greater reproduction levels for organisms at the bottom of the ocean""]",Which would provide evidence of seafloor spreading?,
0,"[""it is likely freezing"", ""summer is just beginning"", ""the beaches are opening"", ""summer solstice is being celebrated""]",If a day goes by and night falls surprisingly quickly,
3,"[""learning to ride a bike"", ""holding a spoon"", ""reading a book"", ""height""]",Which human trait is most likely inherited from a parent?,
2,"[""sun"", ""wind"", ""water"", ""gravity""]",What causes the most soil and rock erosion?,
1,"[""sugar and salt"", ""salt and sand"", ""sugar and baking soda"", ""iron filings and sand""]",Which mixture can be easily separated by adding water and pouring it through a coffee filter?,
0,"[""all of these"", ""sitting by the fireplace"", ""sitting next to a running engine"", ""turning up the room heater""]","if a student needed to warm up, which of these would help?",
0,"[""Fish die and sink to the bottom of a pond."", ""Trees take up and store water with roots."", ""Beavers build a new dam and lodge."", ""Plants get more sunshine and water.""]",Which event would most likely result in more food for organisms that are scavengers?,
3,"[""mental capacity"", ""will power"", ""feather color"", ""size""]",Sparrows gain lift with more grace than a vulture due to,
3,"[""bears that have sparse fur with thrive"", ""bears that develop thin pelts will thrive"", ""bears that carry little fat will thrive"", ""bears that grow heavier pelt will survive""]",If a climate becomes colder over time,
0,"[""bottom"", ""top"", ""left side"", ""right side""]",The xylem absorbs water which end of a plant,
3,"[""feelings"", ""love"", ""vortexes"", ""poop""]",One odd fossil that may have been discovered is,
2,"[""a type of genetic engineering"", ""the merging of sex cells"", ""abnormal cell division"", ""tissue that stops growing""]",Cancer is best described as,
3,"[""think about it"", ""bury it"", ""look at leaves"", ""look inside it""]","If a tree is being discussed and those talking want to know its age, they will",
1,"[""the earliest fossils of animals"", ""the earliest sediments of oxidized rock"", ""impact craters of oxidized-iron asteroids"", ""extensive volcanic calderas of similar age""]",Which provides the oldest evidence for oxygen accumulation in Earth's atmosphere?,
1,"[""soil"", ""food"", ""sunlight"", ""water""]",The human body gets the energy it needs for growth and repair directly from,
0,"[""vocalizing"", ""sleeping"", ""thinking"", ""waiting""]",Two cats in different rooms may share information by,
3,"[""glass slipper"", ""crock pot"", ""ceramic plate"", ""enlarger""]","If a tiny bug needs to be closely observed, a person could enlist the use of a",
2,"[""weight of the ball"", ""energy of the ball"", ""acceleration of the ball"", ""inertia of the ball""]",A metal ball has a constant velocity of zero. Which other quantity must also be zero?,
2,"[""release a best selling album"", ""create a black hole in the desert"", ""turn a sculpture to dust"", ""create a time traveling vortex""]",Weathering can,
2,"[""finches with fat beaks can eat ants in a small anthill"", ""finches with narrow beaks can eat only human meat"", ""finches with narrow beaks can eat ants in a small anthill"", ""finches with fat beaks can eat only human meat""]",Which is the most accurate statement?,
0,"[""liquid to gas"", ""gas to solid"", ""liquid to solid"", ""gas to liquid""]",During which phase change is heat energy absorbed by a substance?,
3,"[""be electrocuted"", ""be vanquished"", ""be drowned"", ""be safeguarded""]",A person in precipitating weather will want to,
3,"[""humans"", ""fish"", ""birds"", ""bacteria""]",In which organisms could evolution occur most rapidly?,
1,"[""dishwasher"", ""refrigerator"", ""electric mixer"", ""microwave oven""]",Which invention has technology that helps people keep food fresh for a long period of time?,
1,"[""the gums"", ""the femur"", ""the skin"", ""the lemur""]",Which is most considered a part of the skeletal system?,
2,"[""Who will be the winner of the next lottery?"", ""What football team will win the next game?"", ""What is the amount of light needed to grow tomatoes?"", ""Which four types of bird feathers have the prettiest colors?""]",Which question can most likely be determined through a scientific investigation?,
2,"[""cry"", ""fly"", ""escalate"", ""go down""]","Plants and trees suck up carbon dioxide, so if trees are cut down, carbon levels will",
0,"[""visual organ"", ""eye spy"", ""feet"", ""brain""]",An object can be seen if it reflects light toward what?,
1,"[""frog"", ""monkey"", ""chicken"", ""salmon""]",A type of animal that can shed is a,
1,"[""this is false"", ""this is provable"", ""maybe"", ""all of these""]",cooking a meal will lead to a transfer of energy into that meal?,
0,"[""ice"", ""soil"", ""liquid water"", ""plants""]",Arctic animals often live on,
2,"[""air"", ""wood"", ""gold"", ""water""]",What might have more closely packed matter,
2,"[""pets"", ""homes"", ""younglings"", ""food""]",DNA is a vehicle for passing inherited characteristics from parent to what?,
0,"[""three months"", ""three days"", ""three years"", ""12 months""]",Winter snows follow Autumn's falling leaves by,
1,"[""glass"", ""dampness"", ""cat food"", ""poison""]","If a plant is deprived of which of these, it will die?",
3,"[""bees"", ""glaciers"", ""bicycles"", ""factories""]",Which would likely be the biggest factor in climate change?,
2,"[""the discovery of cells"", ""the identification of weather patterns"", ""detailed observation of planets"", ""communication between distant cities""]",The invention of the telescope allowed which of the following to take place?,
3,"[""completely whole"", ""all together"", ""an intact item"", ""in detached components""]",An item such as a soda can is broken down. This means that the soda can is now,
1,"[""growing tall to hide in trees"", ""changing fur color to hide from predators"", ""developing large paws to protect themselves from the wind"", ""producing shallow root systems to protect themselves from the cold air""]",Which physical characteristic do some organisms have that helps them survive in the Arctic?,
1,"[""sweet and low"", ""sucrose"", ""flour"", ""honey""]",Cake tastes sweet because of,
3,"[""decrease in weight"", ""increase in weight"", ""decrease in length"", ""increase in length""]",What happens to metal railroad tracks during the heat of a summer day?,
1,"[""bricks"", ""bovine farts"", ""rocks"", ""oxygen""]",Which pollutant is most likely caused by humans activity?,
1,"[""a backpack on its back"", ""a calcium fortified internal structure"", ""none of these"", ""a shell of cotton""]",An animal would have its inner parts better protected if it had which of these?,
0,"[""hefty"", ""light"", ""short"", ""round""]",A lever is used to move objects that are,
0,"[""drought"", ""earthquake"", ""flood"", ""tornado""]",Which natural event can dry out plants and cause wildfires?,
3,"[""sink"", ""burn"", ""melt"", ""precipitate""]",Large fluffy clouds in winter may,
3,"[""cries"", ""goes away"", ""dies"", ""Restarts""]","There are 5 steps in the water cycle, it starts with evaporation, ends with infiltration, and then",
0,"[""flood"", ""drought"", ""fire"", ""landslide""]",Which change would most likely increase the number of salamanders?,
3,"[""horses pull carriage over snow"", ""child is propelling scooter"", ""trolley collects current from overhead wire"", ""EMT transports panting patient""]",many vehicles emitting pollution into the air may occur when,
0,"[""it is baked"", ""it is frozen"", ""it is dampened"", ""it is dyed""]",Glass can become a liquid if,
2,"[""how much light it emits"", ""how much sound it emits"", ""the energy needed to harden"", ""the speed it travels""]",adding salt to a solid decreases what?,
1,"[""the length of the river"", ""the slope of the land"", ""the type of rock over which the water flows"", ""the location of the North Pole""]",The direction water flows in a river depends on,
1,"[""good for skin"", ""high in moister"", ""extremely dry"", ""very sunny""]",Foggy days are said to be,
0,"[""a large asteroid impact"", ""regional drought"", ""new glacier formation"", ""a decrease in the growth of weeds""]",Which event would most likely cause a rapid extinction of organisms?,
2,"[""carrots"", ""wood"", ""a nickel"", ""magic""]",An example of a conductor might be,
0,"[""make food."", ""absorb water."", ""produce seeds."", ""take in oxygen.""]","When sunlight shines on a plant, its leaves",
2,"[""somewhere wet and foggy"", ""deep in the rainforest"", ""a place where water is sparse"", ""somewhere with a lot of insects""]",A creature wanting heat will want to make its home,
3,"[""determine if it is airier"", ""determine if it is windy"", ""determine the high tide"", ""determine if it is hotter in the desert""]",A thermometer would be used to,
