question,choices,answer
"What American rapper was born on October 4, 1989 in New York City?","['Lil Mama', 'Chris Brown', 'Soulja Boy', 'Bow Wow']",0
What U.S. President gave a speech beginning with the phrase Four score and seven years ago?,"['Ronald Reagan', 'Theodore Roosevelt', 'George Washington', 'Abraham Lincoln']",3
Who was the king of Sparta and leader of the 300 Spartans at the famous battle at Thermopylae?,"['Aristides', 'Pericles', 'Leonidas', 'Philip I']",2
"What President signed legislation on July 29, 1958 to create NASA?","['Truman', 'Eisenhower', 'Kennedy', 'Nixon']",1
This King of the Franks conquered Italy and was crowned Imperator Augustus on 25 December 800.,"['Wilhelm the Great', 'Charles the Great', 'Constantine the Great', 'Peter the Great']",1
What was the last state to secede from the Union?,"['Tennessee', 'Louisiana', 'Arkansas', 'Texas']",0
What monarch transformed the Tsardom of Russia into the Russian Empire?,"['Alexander I (The Blessed)', 'Peter I the Great', 'Paul I', 'Constantine I']",1
What was the French governmental structure until the French Revolution?,"['Dictatorship', 'Constitutional monarchy', 'Absolute monarchy', 'Republic']",2
In 1954 Roger Bannister became the first person in history to do which of the following?,"['win Noble Prizes in three different categories', 'orbit the earth', 'None of these', 'run a mile in under four minutes']",3
In 1853 the Crimean War began.  Which country was not part of the coalition against Russia?,"['France', 'United Kingdom', 'Austria', 'Kingdom of Piedmont']",2
When and where did the Velvet Revolution take place?,"['2000 ; Belgrade ; Yugoslavia', '2003 ; Tbilisi ; Georgia', '1989 ; Tiananmen Square, Beijing; China', '1989 ; Prague ; Czechoslovakia']",3
During which war did the Battle of Marathon take place?,"['Peloponnesian', 'Parthian', 'Punic', 'Persian']",3
"In the early 1950s, which of the following became the third country to have an atomic bomb?","['England', 'France', 'Russia(the USSR)', 'The Peoples Republic of China']",0
How many Americans were killed in the capture of Makin Atoll in 1943?,"['218', '66', '37', '152']",1
What Renaissance humanist historian coined the term Middle Age?,"['Leonardo Bruni', 'Dante', 'Flavio Biondo', 'Petrarch']",2
Which well-known author changed his name as a result of the Salem Witch Trials?,"['Jane Austen', 'Arthur Miller', 'Theodore Geisel', 'Nathaniel Hawthorn']",3
"Which is the most accurate number of casualties (including killed, wounded or lost) of World War II?","['11,147,000', '16,354,000', '7,457,000', '9,127,000']",1
What statement is true about the Treaty of Paris of 1783?,"['It recognized US independence.', 'It granted territory to the US from the Atlantic Ocean to the Pacific Ocean.', 'All of these', 'It formed a permanent alliance between France and the US.']",0
Approximately how long was The Spanish-American War?,"['2 years', '3 years', '11-12 months', '3-4 months']",3
Harvard College was founded in what year?,"['1790', '1802', '1636', '1785']",2
This man was portrayed by British actor Rex Harrison in the1963 movie Cleopatra.,"['Alexander the Great', 'Both', 'Julius Caesar', 'Neither']",2
Which Greek historian is known as the Father of History?,"['Plato', 'Herodotus', 'Titus', 'Isocrates']",1
Henry Kissinger held this US post from 1974 to 1977.,"['President of the Senate', 'Speaker of the House of Representatives', 'National Security Advisor', 'Secretary of State']",3
How did the Greeks overtake the city of Troy during the Trojan War?,"['The Trojans surrendered.', 'They used a wooden hollow horse.', 'They destroyed the walls of the city.', 'Achilles killed the Trojan soldiers.']",1
On what date in September of 2006 did Steve Irwin the Crocodile Hunter die due to a stingray attack?,"['September 4', 'September 2', 'September 6', 'September 8']",0
"F. D. Toussaint Louverture, a freed self-educated slave, was one of the leaders of which uprising?","['Sandanista Uprising', 'Rebellion of Martinique', 'Haitian Revolt', 'Revolution of  Devils Island']",2
"Which Vietnam movie featured Tom Cruise, Tom Berenger and Willem Dafoe?","['Full Metal Jacket', 'Born on the Fourth of July', 'Platoon', 'Hamburger Hill']",1
One man who made a fortune out of gold rushes was Levi Strauss. He developed the concept of this.,"['Electric lamp', 'Mattock', 'Denim', 'Explosives']",2
What is the term for the person who was usually the master of the Japanese samurai?,"['Daisho', 'Daimyo', 'Wakizashi', 'Jigai']",1
This group is known for their 1984 song Were Not Gonna Take It.,"['Quiet Riot', 'Ratt', 'Rough Cutt', 'Twisted Sister']",3
"NASA was established in this year, on July 29.","['1952', '1949', '1958', '1962']",2
In February 1992 this treaty was signed. It established the European Union.,"['Merger Treaty', 'Maastricht Treaty', 'Treaty of Rome', 'Treaty of Amsterdam']",1
"On May 28, 2006 Barry Bonds hit his 715th career homerun against which National League team?","['San Diego Padres', 'New York Mets', 'Atalanta Braves', 'Colorado Rockies']",3
Which war was fought by El Salvador and Honduras in 1969?,"['Basketball War', 'Football War', 'Rugby War', 'Baseball War']",1
"The 2006 film See No Evil, released on May 19, stars what famous WWE wrestler?","['Goldberg', 'Undertaker', 'Kane', 'Shawn Michaels']",2
The United States Supreme Court declared that this man invented the radio.,"['H. Hertz', 'N. Tesla', 'A. G. Bell', 'G. Marconi']",1
What common feature do all of the entrances of the Pyramids in Giza share?,"['They all face the exact north.', 'They all face the exact west.', 'They all face the Nile River bank.', 'They are all oriented towards the Sphinx.']",0
Which playwright of Ancient Greece is generally regarded as the father of drama?,"['Socrates', 'Sophocles', 'Aeschylus', 'Aristophanes']",2
What is the name of the slightly curved single-edged sword used by Japanese samurai warriors?,"['Yari', 'Katana', 'Yumi', 'Teppo']",1
Which statement is true about the Chinese entry into the Korean War?,"['It caused the Nationalist forces of Taiwan to enter the war against Communist China.', 'It led to US bombing of targets in China.', 'It pushed the anti-communist forces back rapidly all the way into South Korea.', 'It had little effect on the course of the war.']",2
"What cartoon character made his film debut on June 9, 1934?","['Daffy Duck', 'Mickey Mouse', 'Donald Duck', 'Pluto']",2
Several hundred specimens of this species of dinosaur were discovered at Ghost Ranch.,"['Coelophysis bauri', 'Triceratops horridus', 'Eoraptor lunensis', 'Tyrannosaurus rex']",0
What does the German word Blitzkrieg mean?,"['holy war', 'lightning war', 'patriotic war', 'speed war']",1
This island was Englands first overseas colony.,"['Rhodes', 'Newfoundland', 'Iceland', 'Greenland']",1
When did the Christianisation of Germanic tribes begin?,"['in the 5th century', 'in the 4th century', 'in the 7th century', 'in the 6th century']",1
"During what century did Ramesses III, Pharaoh of Egypt, live, rule and die?","['12th century BC', '7th century BC', '2nd century BC', '5th century BC']",0
"How many landing beaches were there in the 1944 Normandy Invasion, known as Operation Overlord?","['Four', 'Six', 'Five', 'Three']",2
Multicellular organisms evolved during what period of the Mesoproterozoic era?,"['Calymmian', 'Ectasian', 'Stenian', 'Ediacaran']",1
This century saw the discovery of the Americas and of a sea route along Cape of Good Hope to India.,"['9th century AD', '17th century AD', '13th century AD', '15th century AD']",3
What is the Mayflowers estimated length?,"['80-100 feet', '90-110 feet', '115-130 feet', '100-125 feet']",1
Which wars were fought in XV century England?,"['Wars of the Tulips', 'Wars of the Roses', 'Wars of the Sunflowers', 'Wars of the Lilies']",1
Which statement is true about the Regency?,"['It was the first auto with an automatic transmission.', 'It was the first cell phone.', 'It was the first auto with a moon roof.', 'It was the first transistor radio.']",3
In 1990 the new NC-17 replaced the X movie rating. What does NC stand for?,"['Need Consideration', 'Non Conforming', 'No Children', 'Need Confirmation']",2
What caused the Queen of the Sea train disaster which killed 1700 passengers?,"['Two trains collided on the Tokaido Main Line in Yokohama, Japan.', 'After the 2004 Earthquake and subsequent Tsunami this train was washed away from a Srilankan coastal track.', 'The brakes on an overfilled troop train returning from the front in 1917could not take the weight of the many wagons.', 'A cyclone hit the train in Bihar, India, while it was crossing a bridge. It derailed and plunged into the river below.']",1
Against which of the following were the medieval Crusades fought?,"['Against Jewish communities across Europe only', 'Against Moors on the Iberian Peninsula only', 'Against Turks in the Holy Land only', 'Against anybody the Pope would declare an enemy']",3
Who is the first president of the U. S. in the 21st century?,"['Bill Clinton', 'Al Gore', 'Barrack Obama', 'George W. Bush']",0
"What soap opera moved from radio to television on June 30, 1952?","['General Hospital', 'Young and the Restless', 'Guiding Light', 'Days of our Lives']",2
"During the Russian Revolution of 1917, which city was capital of Russia?","['Volgograd', 'Kiev', 'Saint Petersburg', 'Moscow']",2
When did the United States enter World War II?,"['1942', '1940', '1943', '1941']",3
"What was the name of the airplane that dropped the a-bomb over Nagasaki  on August 9, 1945?","['Little Boy', 'Angela Heart', 'Bocks Car', 'Enola Gay']",2
The North and South (between Maryland and Pennsylvania) were separated by what famous line?,"['The Dixon Divide', 'The Underground Railroad', 'The Line of Freedom', 'The Mason-Dixon Line']",3
"In 453, Attila the Hun died in his room on the night of his wedding to which woman?","['Ildico', 'Kriemhild', 'Honoria', 'Gudrun']",0
What term did hippies use to refer to the institutions and structures they rejected?,"['The Power', 'The System', 'The Reign', 'The Establishment']",3
"On October 19, 2006 Nissan Motor Company recalled 80,000 cars in U.S. due to what defects?","['in the air bags', 'in the ignition key', 'in the door locks', 'in the seatbelts']",1
Who conquered England as a result of the Battle of Hastings?,"['The Normans', 'The Romans', 'The Vikings', 'The Scots']",0
In 1987 Nike introduced these trainers that enable the wearer to jump higher.,"['Cortez', 'Max 95', 'BW', 'Air']",3
"Thermopylae, the site of the historic Battle of Thermopylae, was what type of area?","['It was a narrow pass', 'It was heavily forested', 'It was a hilltop', 'It was a wide open plain']",0
Who was chosen to be the 2006 Time Magazines Person of the Year?,"['Me', 'You', 'The Democrats', 'George W. Bush']",1
"What happened on July 14,1789?","['Japan opened ports to international shipping', 'Argentina gained independence from Spanish rule', 'The American Revolution ended', 'A mob of French peasants stormed the Bastille and started the French Revolution']",3
"What was the title of Karl Marxs influential treatise on political economy, first published in 1867?","['Crime and Punishment', 'War and Peace', 'Capital', 'Communism']",2
Who was a bailiff in the Middle Ages?,"['A sheriff, responsible for collecting taxes', 'A person who was not able to pay his/her debts', 'A person appointed by a landholder to manage the village, fields and livestock', 'A priest of non-noble origin']",2
Elkhorn Tavern is located on which battlefield?,"['Pea Ridge', 'Chickamauga', 'Franklin', 'Wilsons Creek']",0
What year marks Halleys Comet first appearance in the 20th century?,"['1905', '1909', '1920', '1910']",3
Panasonic developed the VHS type of tape and Sony developed this type.,"['BetaMax', 'Aquaos', 'TriType', 'True-Tape']",0
"What was the predominating religion in the Achaemenid Empire, one of the first Persian empires?","['Rastafarianism', 'Zoroastrianism', 'Hinduism', 'Shamanism']",1
The first military submarine (Turtle) could accommodate this number of people.,"['3', '1', '2', '0 as it was unmanned']",1
Which event did not occur in the same year as the other three?,"['UNIVAC becomes the first mass-produced computer.', 'Color Television is introduced.', 'Theodore Geisel writes Cat in the Hat.', 'Atomic power is introduced.']",2
"On May 23, 1934, bank robbers Bonnie Parker and Clyde Barrow were gunned down in this state.","['Louisiana', 'Oklahoma', 'Texas', 'Kansas']",0
When was the first rollercoaster built?,"['1884', '1939', '1929', '1892']",0
Which wars are known as Reconquista?,"['The conquering of todays Latin America by Spain and Portugal', 'The war between US and Mexico in the beginning of the XIX century', 'The colonization of the Indian Peninsula by Portuguese, Dutch and later British colonists', 'The expansion of Christian kingdoms at the expense of Muslim states on the Iberian Peninsula']",3
Slavery was outlawed in all British colonies in this year.,"['1812', '1912', '1834', '1738']",2
1987 brought this black day for the US stock market.,"['Tuesday', 'Monday', 'Friday', 'Thursday']",1
What city became the capital after the unification of Germany in 1990?,"['Bonn', 'Berlin', 'Bremen', 'Dresden']",1
When did the Battle of Trenton take place?,"['December 24, 1776', 'December 25, 1776', 'December 24, 1775', 'December 26, 1776']",3
"Which NFL team won Super Bowl XL on February 5, 2006?","['New England Patriots', 'Seattle Seahawks', 'Philadelphia Eagles', 'Pittsburgh Steelers']",3
What effective submachine gun was also known as the Schmeisser?,"['MG42', 'MP40', 'MP44', 'MG32']",1
Who named the Cambrian period?,"['Charles D. Walcott', 'Adam Sedgwick', 'None of these', 'Charles Lyell']",1
What war began in 1914?,"['Russo-Japanese war', 'World War I', 'World War II', 'Spanish-American war']",1
"Which one of these was not part of the Million Dollar Quartet, formed in 1956 by Sun Records?","['Carl Perkins', 'Jerry Lee Lewis', 'Johnny Cash', 'Willie Nelson']",3
"Who was shot and killed by federal agents on July 22, 1934?","['Al Capone', 'Bonnie Parker', 'John Dillinger', 'Bugsy Malone']",2
"The town of Hastings, where the Battle of Hastings took place, is located in which county?","['Kent', 'Surrey', 'East Sussex', 'West Sussex']",2
This man became the leader of his country at the age of 20.,"['Julius Caesar', 'Neither', 'Alexander the Great', 'Both']",2
This mans biological son became famous after his death.,"['Both', 'Julius Caesar', 'Neither', 'Alexander the Great']",2
On what date did the Mayflower leave port?,"['September 13', 'September 20', 'September 16', 'September 6']",3
When was the first U.S. adhesive postage stamp sold?,"['1747', '1690', '1847', '1790']",2
"Don Quixote de la Mancha is a fictional knight from the self-titled novel, written by this author.","['Dante Alighieri', 'Giuseppe Tomasi di Lampedusa', 'Arthur Conan Doyle', 'Miguel de Cervantes']",3
How many Medal of Honor citations have been issued during the Vietnam War?,"['245', '345', '153', '120']",0
Adolf Hitler was the leader of Nazi Germany and the head of which German party?,"['National Christian-Democratic party', 'National German Communist party', 'National Socialist German Workers party', 'Conservative Peoples party']",2
What does the term Precambrian mean?,"['Middle life', 'Before-Cambrian', 'Recent life', 'Ancient life']",1
"Who assassinated Austrian Archduke Franz Ferdinand and his wife on June 28, 1914?","['Charles Guiteau', 'Leon Czolgosz', 'Gavrilo Princip', 'Sirhan Sirhan']",2
What Dukes of Hazzard star played Thumblerig the Gambler in the 1960 movie The Alamo?,"['Denver Pyle', 'Andy Griffith', 'James Best', 'Boss Hogg']",0
When was the first pull-on mens underwear invented ?,"['Around 7th century', 'Around 18th century', 'Around 15th century', 'Around 13th century']",3
Which northern state was last to make slavery illegal?,"['New York', 'New Jersey', 'Pennsylvania', 'They all made it illegal at the same time']",1
What was the objective of Operation Sea Lion?,"['The conquest of Britain', 'Mining of the Norwegian coast to avoid German invasion', 'Cutting British supplies at sea', 'Commando raid on Dieppe to test Atlantic Wall defenses']",0
