question,choices,answer
What element comprises more than half of Mercurys mass?,"['Lead', 'Iron', 'Nickel', 'Carbon']",1
What is the best location to exercise in order to fight depression according to studies?,"['In a gym', 'In the bathroom', 'In your home', 'Outdoors']",3
Which mathematician proved that every angle can be trisected?,"['Aristarcus', 'Euclid', 'No one ever could', 'Gauss']",2
This animals evolutionary lineage is the best documented and the most clearly understood.,"['Human', 'Horse', 'Dog', 'Shark']",1
Which statement regarding snakes is true?,"['All snakes have teeth but not all snakes have fangs.', 'All sea snakes have fangs.', 'All snakes have fangs.', 'All land snakes have fangs.']",0
Which hat is a distribution of the Linux operating system?,"['Black Hat', 'White Hat', 'Red Hat', 'Blue Hat']",2
"Prometea, an example of successfully cloned mammal, was what type of animal?","['Cat', 'Pig', 'Rabbit', 'Horse']",3
"How would you write 236,598 out in words?","['Two million, thirty-six thousand, five hundred ninety-eight', 'Two hundred, thirty-six thousand, five hundred ninety-eight', 'Three hundred, thirty-six thousand, six hundred ninety-eight', 'Two hundred, three thousand, five hundred ninety-seven']",1
Where is the heart located?,"['On top of the lungs, behind and slightly to the left of your breastbone.', 'Beneath the lungs, behind and slightly to the left of your breastbone.', 'To the right of the lungs, behind and slightly to the left of your breastbone.', 'Between the lungs, behind and slightly to the left of your breastbone.']",3
What astronomical object was named in honor of Greek philosopher Aristotle?,"['A star', 'A constellation', 'One of the rings of Saturn', 'A crater on the Moon']",3
Where exactly is the retina of the eye positioned?,"['Retina is a synonym of pupil.', 'Along the optic nerve.', 'Right behind the pupil', 'Its lining the inner surface of the eye.']",3
"In medical parlance, what is an A-line?","['Anatomic line', 'Analog line', 'Afferent line', 'Arterial line']",3
The members of only one of these types of microorganisms have a cell nucleus. Which are they?,"['Algae', 'Viruses', 'Archaea', 'Bacteria']",0
German astronomer Johannes Kepler showed that the planets circle the Sun in this type of path.,"['Ellipse', 'Ray', 'Circle', 'Hyperbola']",0
How many Earth years does it take for Jupiter to complete one orbit around the Sun?,"['10.5 years', '22.4 years', '11.8 years', '5.5 years']",2
When did the first grasses evolve?,"['55 million years ago', '35 million years ago', '65 million years ago', '200 million years ago']",0
What is the name of the red supergiant that marks Orions right shoulder?,"['Betelgeuse', 'Taneriss', 'Bellatrix', 'Regulus']",0
Pioneer 11 was the first spacecraft to study Saturn in this year.,"['1976', '1975', '1979', '1973']",2
All of the following foods contain cholesterol EXCEPT this food.,"['Eggs', 'Okra fried in vegetable oil', 'Ice cream', 'Fish']",1
What is the symbol for Helium?,"['He', 'Hi', 'Hl', 'H']",0
"In humans, which of these organs belongs to the integumentary system?","['Skin', 'Tonsils', 'Liver', 'Pharynx']",0
"This Spanish architect designed La Sagrada Familia, one of the most famous buildings in Barcelona.","['Carlo Scarpa', 'Mario Botta', 'Alvar Aalto', 'Antonio Gaudi']",3
In what type of written form did Aristotle prefer to express and defend his doctrines?,"['Dialogue', 'Fable', 'Poetry', 'Monologue']",0
"In astrophysics, which theorem defines what parameters black holes are characterized by?","['No-ghost theorem', 'Brouwers Fixed point theorem', 'Hairy ball theorem', 'Black holes have no hair']",3
What celestial formations are considered to be the birthplaces of stars?,"['Galactic halos', 'Nebulae', 'Spiral galaxies', 'Galaxy cluster clouds']",1
During which war did the first known pandemic take place?  It dates back to 430 BC.,"['The Peloponnesian War', 'The Punic Wars', 'The Persian Wars', 'The Trojan War']",0
"Choose the correct ordering of these medical jobs abbreviations, in increasing order of salary.","['MA, LPN, PA, RN, MD', 'MA, PA, LPN, RN, MD', 'MA, LPN, RN, PA, MD', 'LPN, MD, PA, MA, RN']",2
What do you call the force which slows down and stops a moving object?,"['Friction', 'Gravitational force', 'Magnetic force', 'Molecular force']",0
What year marked the first broadcast of a baseball game?,"['1949', '1939', '1946', '1929']",1
"This disorder, also known as manic depression, involves high risk of death through suicide.","['Dependent Personality Disorder', 'Antisocial Personality Disorder', 'Bipolar Disorder', 'Schizophrenia']",2
Which statement correctly describes the superior vena cava?,"['II is the large vein that carries de-oxygenated blood from the lower half of the body into the heart.', 'It is the largest artery in the human body, originating from the left ventricle of the heart and bringing oxygenated blood to all parts of the body', 'It is a vein that carries oxygen-rich blood from the lungs to the left atrium of the heart and is the only vein in the post-fetal human body that carries oxygenated blood.', 'It is a large, yet short vein that carries de-oxygenated blood from the upper half of the body to the hearts right atrium.']",3
Name the point where an objects orbit passes through the plane of Earths orbit.,"['Node', 'Apogee', 'Prominence', 'Perigee']",0
In nuclear physics what is a radionuclide?,"['A nucleus separated from the atom by radioactive processes', 'None of these', 'Two radioactive atoms in a molecule', 'An atom with an unstable nucleus characterized by excess energy']",3
What was the name of the first monkey to go in outer space?,"['Albert I', 'Gordo', 'Sam', 'Bonny']",0
How fast have winds on Jupiter blown?,"['430 Kilometers per hour(267 Miles per hour)', '240 Kilometers per hour(150 Miles per hour)', '470 Kilometers per hour(292 Miles per hour)', '360 Kilometers per hour(223 Miles per hour)']",0
The term arthro is of Greek origin. It refers to which part of the body?,"['Head', 'Skin', 'Bone', 'Joint']",3
What is the approximate surface of the skin of an average adult human?,"['Between 0.5 and 1.0 square meters', 'From 2.0 to 2.5 square meters', 'Between 3.0 and 3.5 square meters', 'From 1.5 to 2.0 square meters']",3
"Rafflesia, a parasitic plant found in southeastern Asia, has flowers, which smell like what?","['Sweet perfume', 'Mushrooms', 'Rotting meat', 'Garlic']",2
"This technique is used to relax soft tissue. It is done using both hands, exercising light pressure.","['Tapotement', 'Friction', 'Petrissage', 'Effleurage']",3
"NASAs Chandra space observatory launched on July 23, 1999 uses what type of telescopes?","['Optical telescopes', 'Infrared telescopes', 'X-ray telescopes', 'Radio telescopes']",2
Who was the first US President to address the nation on TV?,"['Hoover', 'Truman', 'Eisenhower', 'FDR']",1
Who found and named  the first Homo Erectus in 1891?,"['Eugene Dubois', 'Franz Boas', 'Louis and Mary Leakey', 'David Johannson']",0
Kelp ash is used in the production of which of the following?,"['Plastic', 'Glass', 'Rubber', 'Teflon']",1
"This device is used for dispersing light, reflecting it or refracting it.","['sphere', 'monocle', 'prism', 'lens']",2
"In atomic physics, which atoms are called exotic atoms?","['Atoms that occur on other planets of the Solar System but not on Earth', 'Atoms in which a sub-atomic particle has been replaced by another particle of the same charge', 'Magnetized atoms', 'Atoms that occur on Earth naturally very rarely']",1
"An overdose of what vitamin can cause diarrhea, nausea and heartburn?","['Vitamin A', 'Vitamin B5', 'Vitamin K', 'Vitamin C']",1
"In medical jargon, what are PMH, PSH, SH and FH?","['Past medical history, Past surgical history, Social history and Family history', 'Post-medical healing, Post-surgical healing, Surgical healing and Functional healing', 'Posterior middle hyoid, Posterior superior hyoid, Superficial hyoid and Foramen hyoidium', 'Patient mental hospital, Patient surgical hospital, Social hospital, and Female hospital']",0
What sea creature has 3 hearts and 8 tentacles?,"['sea worm', 'crab', 'octopus', 'squid']",2
"Jupiter, the fifth planet from the Sun, has atmosphere composed of what gases?","['Oxygen and hydrogen', 'Hydrogen and nitrogen', 'Oxygen and nitrogen', 'Hydrogen and helium']",3
The reclassification of Pluto as a dwarf planet in 2006 caused the emerging of what?,"['Risings among astronomy teaches in the USA', 'New ethnical conflicts in the Middle East', 'New word in English', 'A sect of violent Pluto followers']",2
What is the chemical symbol for Thorium?,"['Th', 'T', 'Fe', 'Tr']",0
Which line contains only types of precipitation?,"['Snow, vapor, fog drip, hail', 'Rain, fog drip, runoff, sleet', 'Graupel, sleet, snow, hail', 'Snow, ice, hail, rain']",2
What does KIT mean in instant messaging language?,"['kiss it tenderly', 'kook in training', 'keep in touch', 'kitchen']",2
What is the chemical symbol for Vanadium?,"['V', 'Va', 'Vn', 'Vd']",0
"On average, how long is the sunspot cycle?","['10.4 years', '11.1 years', '14.8 years', '14.8 years']",1
When was the Moon formed?,"['About 5.7 billion years ago', 'About 4.5 billion years ago', 'About 300,000 years ago', 'About 1 billion years ago']",1
Which vegetables come in the Enterprise Java flavour?,"['Beans', 'Broccoli', 'Potatoes', 'Peas']",0
