question,choices,answer
Which animal is often used as an index fossil for identifying Paleozoic strata?,"['Dimetrodon', 'None of the above', 'Dinosaur', 'Trilobite']",3
The Marcel Wave is one of these.,"['A fashionable way to shake you head', 'A hair style', 'A way to fold your skirt', 'A type of hat']",1
"In 1943, General Friedrich Paulus was in charge of the German forces in which area?","['Egypt', 'Caucasus', 'the Netherlands', 'Paris']",1
Which one of these events did not happen in the same year as the others?,"['The novel Peyton Place was published', 'Barry Gordy, Jr. invested $700 in founding Motown Records', 'Allen Ginsberg publishes the book Howl and Other Poems', 'Elvis Presley recorded the song Hound Dog']",1
"Roman Emperors Caligula, Augustus, Claudius and Nero lived in this century.","['2nd century BC', '2nd century AD', '1st century AD', '1st century BC']",2
What century marked the fall of the Western Roman Empire?,"['9th century AD', '5th century AD', '3rd century AD', '7th century AD']",1
"This chocolate flavored milk drink, test-marketed by Nestle in 2002, was an utter failure.","['Elmers Favorite', 'MIlkochoc', 'Chocolilk', 'Choglit']",3
This Mameluke was Napoleons constant attendant.,"['Roustam', 'Tommy', 'Karageorgio', 'Maltesta']",0
In what year was slavery banned in the British colonies?,"['1802', '1833', '1864', '1865']",1
What US presidents centennial birthday was celebrated in 1984?,"['Harry S Truman (1945-1953)', 'Herbert Hoover (1929-1933)', 'Franklin D. Roosevelt (1933-1945)', 'Dwight D. Eisenhower (1953-1961)']",0
Who gave the sermon at President Lincolns funeral?,"['Rev. J.C. Harrison', 'Bishop Cavenaugh', 'Dr. Phineas D. Gurley', 'Dr. John W. Cunningham']",2
What city-state was the primary rival of Athens during the Peloponnesian war of 431 BC?,"['Byzantium', 'Sumer', 'Sparta', 'Babylon']",2
The operational jet fighter was invented during this war.,"['The Spanish Revolution', 'The Korean War', 'World War I', 'World War II']",3
What did Walter Morrison invent in 1948?,"['the Frisbee', 'the microwave', 'Doppler Radar', 'the solar battery']",0
"Scythian monk Dennis the Little, who lived in the sixth century invented this.","['Numbering years according to the life of Jesus', 'The concepts of  Feudalism', 'The horse-pulled plow', 'Taking a census every decade']",0
Who was the Union commander at the Battle of Antietam?,"['Phil Kearney', 'Israel Richardson', 'George Thomas', 'George McClellan']",3
On what date in August did the Israeli and Hezbolah conflict end with a ceasefire?,"['August 20, 2006', 'August 14, 2006', 'August 2, 2006', 'August 8, 2006']",1
President Reagan was shot in 1981 as he left this hotel.,"['Ritz-Carlton, Washington DC', 'The Washington Hilton', 'The St. Regis Washington DC', 'Park Hyatt, Washington']",1
Where were the first shots of the American Revolutionary War fired?,"['Charleston, South Carolina', 'Lexington, Massachusetts', 'near the city of New York', 'Newark, New Jersey']",1
One of these events did not take place on a summer day.,"['Admiral Nelson was buried at St. Pauls Cathedral', 'President Adams settled in a new capital', 'Donald Duck debuted', 'The 1936 Summer Olympics']",0
She was Miss Moneypenny in 14 of the James Bond films.,"['Lon Andrews', 'Catherine Snab', 'Sydney Andrews', 'Lois Maxwell']",3
Which one of these people holds several patents for fishing lures?,"['Jamie Lee Curtis', 'Gary Burghoff', 'Jonathan Winters', 'Charlton Heston']",1
"When did the Berlin Wall fall, ending symbolically the Cold War?","['1991', '1992', '1990', '1989']",3
There have been many wars in the Balkans. Which one was known as the First Balkan War?,"['The war between the Balkan League (Serbia, Montenegro, Greece and Bulgaria) and the Ottoman Empire in 1912-13', 'The war in Bosnia and Herzegovina after the breakup of Yugoslavia in 1992', 'The Greek War of Independence in 1821', 'World War I']",0
Whose visit to South Korea in May of 1984 promoted the tightest security in that nations history?,"['Ronald Reagan', 'Mikhail Gorbachev', 'Fidel Castro', 'Pope John Paul II']",3
How was land usually divided in the medieval 3-field system?,"['One-third of a manors land was cultivated with wheat, one-third with barley or other crop, one-third was left for meadows. Every year the fields were rotated.', 'Actually there was no 3-field system, land was cultivated at random.', 'One-third of all farming land in a given country belonged to the crown, one-third to the church, one-third to knights.', 'One-third of a manors land belonged to the landowner (liege), one-third to the landholder (vassal), one-third to the church.']",0
"What notable event happened in New York City on November 7, 1989?","['The city was visited by the Pope.', 'A grizzly bear on the loose fell asleep on Times Square.', 'An earthquake struck the city.', 'The first African American mayor of the city was elected.']",3
Where was Stonewall Jacksons body buried?,"['West Point cemetery', 'Lexington, VA', 'The Chancellorsville battlefield', 'Hollywood Cemetery in Richmond']",1
"The Salvation Army, a world-wide charity organization, was established in what year?","['1835', '1895', '1865', '1885']",2
Who were the leaders of the US and the Soviet Union during the Cuban Missile Crisis?,"['Johnson, Brezhnev', 'Johnson, Khrushchev', 'Kennedy, Khrushchev', 'Eisenhower, Stalin']",2
What was the objective of Operation Husky launched in 1943?,"['The capture of Sicily', 'The bombardment of the Monte Casino Cloister', 'The landings at Anzio', 'The final defeat of German forces in Africa']",0
To what period does the Terror refer to?,"['The rule of the Legislative Assembly - 1791 - 1792', 'The rule of the National Constitutional Assembly - 1789 - 1791', 'The rule of the Directory - 1795 - 1799', 'The rule of the Legislative Assembly - 1793 - 1794']",3
"This man won battles in Greece, Africa, and the Middle East.","['Alexander the Great', 'Neither', 'Both', 'Julius Caesar']",2
Which plane was the first operational turbojet to take part in WW II?,"['Heinkel He 178', 'Gloster Meteor', 'Messerschmitt 262', 'Arado Ar 234']",2
Which Roman Emperor wrote The Meditations that was actually a sort of personal diary?,"['Constantine', 'Hadrian', 'Marcus Aurelius', 'Julius Caesar']",2
What is the War of Laws?,"['The Iraqis democratic government attempt to get an acceptable constitution', 'ANCs attempt to change the discrimination laws in South Africas Apartheid regime', 'The EU attempt to override local Member State law', 'The implementation of National legislation laws vs. Soviet Union laws']",3
When was a telescopic sight first put on a rifle?,"['1931', '1880', '1789', '1939']",1
"After Cleopatra and Anthonys death, who became guardian of their children?","['Octavia Minor, Anthonys fourth wife', 'Octavian', 'Cleopatras oldest son, Caesarion', 'The children were executed.']",0
"Which war, fought in the 20th century, is sometimes referred to as The Forgotten War?","['World War I', 'Gulf War', 'Korean War', 'Spanish-American War']",2
