question,choices,answer
Which two famous ghosts supposedly haunt the Hollywood Roosevelt Hotel?,"['Douglas Fairbanks and Mary Pickford.', 'Marilyn Monroe and Montgomery Clift.', 'Frank Sinatra and Ava Gardner.', 'Laurel and Hardy.']",1
The term hippopotomonstrosesquippedaliophobia means abnormal fear of what?,"['River animals', 'Long words', 'Large animals', 'Pachyderms']",1
What superhero does Hugh Jackman play in the X-Men series?,"['The Wolverine', 'Professor Charles Xavier', 'Iceman', 'Colossus']",0
"What British singer recorded her biggest hit, Downtown in 1964?","['Myleene Klass', 'Amy Winehouse', 'Petula Clark', 'Lulu']",2
What kind of dead life form does E.T. revive in the 1982 science fiction movie E.T. the Extra-Terrestrial directed by Steven Spielberg?,"['A dead mouse', 'A cut tomato', 'A dead fish', 'A dead flower']",3
"To build the 747, The Boeing Co. needed to design and construct a large number of tools.  Approximately how many?","['170 000', '1 800', '270 000', '45 000']",2
Who is the first singer to have two singles that sold over 30 million copies worldwide?,"['Bruce Springsteen', 'Yanni', 'Elton John', 'Bing Crosby']",3
"This 2002 television series followed the lives of 3 families over 4 generations. The Keys, the Crawfords, and the Clarkes were all somehow linked with various alien encounters over the years and the culmination of all this was the birth of Allison Clarke played by Dakota Fanning.","['War of The Worlds', 'Taken', 'Heroes', 'V']",1
The first 747 was due to roll out of the production line in which year?,"['1969', '1972', '1970', '1971']",0
"This great boxer, known as the Galveston Giant, was the worlds Heavyweight Champion from 1908-1915.","['Jim Jeffries', 'Jim Johnson', 'Jack Johnson', 'Jack Jeffries']",2
"In the instant messaging system (or IM), what do the letters SYS mean?","['see you soon', 'seeing your sister', 'system is down', 'still your spouse']",0
The largest burger weighed this much.,"['6,878 pounds (3,120 kg)', '1,111 pounds (504 kg)', '6,040 pounds (2,740 kg)', '18,388 pounds (8,341kg)']",2
"Alligators and crocodiles exist together in only one place in the world, where?","['Samoa', 'North Carolina', 'Florida', 'Australia']",2
Most fairy tale characters have this color hair.,"['Blonde', 'Dark', 'Green', 'Red']",0
"Internationally, blue is the color of these political parties.","['Labour parties', 'Liberal parties', 'Communist parties', 'Conservative parties']",3
By what nickname was shipping magnate Onasis better known?,"['Psi', 'Ari', 'Soc', 'Uri']",1
What is known as the fear of electricity?,"['Eleutherophobia', 'Electrophobia', 'Emetophobia', 'Enetophobia']",1
What was the value of the smallest valued coin ever issued by the US Treasury?,"['one half of a cent', 'one cent', 'one eighth of a cent', 'one quarter of a cent']",0
What were the names of the two eccentric women who lived at the estate known as Grey Gardens?,"['Edith and Edie Beale', 'Elizabeth and Victoria Vanderbilt', 'Natalia and Anna Carlisle', 'Beatrice and Josephine Rockerfeller']",0
Why was the name Mercedes added to Benz?,"['No one knows', 'To make it more appealing to the French', 'To make it more feminine', 'To make it compete with Ford']",1
What is James Browns honorific nickname?,"['King of Jazz', 'Godfather of Soul', 'King of the Blues', 'Chairman of the Board']",1
"On July 26, 1948, US President Harry S. Truman issued Executive Order 9981, which established what?","['The right of women to vote', 'The House Committee on Un-American Activities (HUAC)', 'Equality of treatment and opportunity in the Armed Services for people of all races', 'None of these']",2
This musical group debuted on Saturday Night Live in 1978 and released an album called Briefcase Full of Blues that same year.,"['The Blues Brothers', 'Sunglasses and Briefcases', 'Dead Men Walking', 'The Killer Bees']",0
"For what medical condition is non-metallic gold beneficial, according to some studies?","['Tuberculosis', 'Rheumatoid arthritis', 'Inflammation', 'All of these']",3
What country in Southeast Asia changed its name to Myanmar?,"['Laos', 'Cambodia', 'Ethiopia', 'Burma']",3
He invented the vulcanized rubber double-tube tire in 1845 and the glass fountain pen in 1849. He also came up with the technique of firing explosive charges using electricity.,"['Robert William Thomson', 'Edouard Michelin', 'B. F. Goodrich', 'Edouard Goodyear']",0
"The Krahule hill , known as the geographic center of Europe, is it located in this country.","['Slovakia', 'Austria', 'Montenegro', 'Slovenia']",0
"This novel centers around Florentino Arizas obsession with Fremina Daza who marries a wealthy doctor of medicine, named Juvenal Urbino.","['One Hundred Years of Solitude', 'Like Water for Chocolate', 'Love in the Time of Cholera', 'Of Love and Other Demons']",2
"Before he started making movies in Hollywood, Dudley Moore was part of a comedy duo in Great Britain in the late 60 and early 70s. What was his partners name?","['Peter Baker', 'Peter Cook', 'Less Parks', 'Jim Jackson']",1
