question,choices,answer
In which time zone(s) would you find the state of Florida?,"['Central', 'Central and Mountain', 'Eastern', 'Eastern and Central']",3
"If the nurse writes NKDA on your chart, what does it mean?","['Your vital signs are WNL (within normal limits).', 'You told the nurse you are not allergic to any medications.', 'You did not pay your bill.', 'You missed an appointment.']",1
What is a difficult patient in medical jargon?,"['A patient who upsets the doctor or the office staff in some way', 'A patient who has a disease which is difficult to treat', 'A patient who is terminal', 'An insane patient']",0
"All telephones in the USA were shut down on August 2, 1922. Why?","['The International Brotherhod of Communications Workers went on strike.', 'The electrical workers in New York, Chicago, and Washington went on strike.', 'It was the day when Alexander Graham Bell died.', 'It was the day  for the Orson Welles  War of the Worlds radio telecast.']",2
"Chemistry is defined as the natural science of matter, dealing with the composition of substances and their properties, reactions and interactions.  Which of the following would NOT be an example of a chemical reaction?","['mixing vinegar and baking soda together', 'the burning of a piece of wood', 'converting liquid water to gaseous steam', 'the rusting of a nail']",2
What is a hydrometer?,"['None of these', 'An instrument used to measure a liquids temperature', 'An instrument used to measure a liquids weight', 'An instrument used to measure a liquids density']",3
Which insects does the science called Coleopterology study?,"['Beetles', 'Mosquitoes', 'Mantises', 'Parasitic insects']",0
What is the medical term for a nosebleed?,"['Rhinorrhagia', 'Rhinitis', 'Rhinomycosis', 'Rhinodynia']",0
Which famous mathematician proved that there is no formula to find the roots of any equation of degree more than four?,"['Abel', 'Euler', 'Gauss', 'Galois']",0
Who was the President of the United States at the time when Apollo 11 landed on the Moon?,"['John F. Kennedy', 'Lyndon B. Johnson', 'Gerald Ford', 'Richard Nixon']",3
To which of these essential human abilities is memory closely related?,"['All of these', 'Learning', 'Understanding', 'Speaking']",0
The human facial skull consists of double as well as single bones. Which of the following bones is not a facial bone?,"['Zygomatic bone', 'Calcaneus', 'Vomer bone', 'Mandible']",1
Cell nuclei have two primary functions in the cell. The first is to to store genetic information needed for cellular division. What is the second one?,"['To maintain an acidic internal pH', 'To remove unwanted structural debris surrounding the cell', 'To control chemical reactions', 'To maintain internal hydrostatic pressure']",2
Arsenic poisoning mainly disrupts this system.,"['Cardiovascular system', 'Digestive system', 'Endocrine system', 'Nervous system']",1
What is the weight of the smallest known bird egg on the planet?,"['2,5 grams', '5 grams', '0,5 grams', '1 gram']",2
USB connectors let you attach everything from printers to cameras to your computer quickly and easily. What does the abbreviation USB actually stand for?,"['Universal Serial Bus', 'Universal Service Bus', 'Ultra Sensitive Bus', 'Utility Service Bus']",0
The longest coma lasted approximately this long.,"['2 years', '11 months', '24 years', '37 years']",3
Who invented the water thermometer?,"['Galileo', 'Fahrenheit', 'Celsius', 'Santorio Santorio']",0
What is the most abundant element in Mercurys atmosphere?,"['Nitrogen', 'Helium', 'Boron', 'Oxygen']",3
"The absence of the protein called Christmas factor, a.k.a. factor IX, from the human body results in this serious disease.","['Parkinsons disease', 'Epilepsy', 'Diabetes', 'Hemophilia']",3
"Due to this, there is almost no atmosphere on the Moon.","['Lack of oxygen', 'Cold temperature', 'Excessive sunshine', 'Weak gravity']",3
What is the unit of power that shows how fast a circuit uses electrical energy?,"['Watt', 'Frequency', 'Voltage', 'Amp']",0
"In virology, what does the term vector refer to?","['An organism that carries a virus but is not infected by it', 'An organism infected by a virus', 'A virus that does not parasite on cells but lives independently', 'A virus that spreads through the air']",0
What factor is the reason for economists to believe that countries are gradually becoming more economically interdependent?,"['There are many multinational corporations that design, manufacture, and sell products around the world.', 'Global trade is largely aided by the constant progress of technologies.', 'All of these', 'Financial markets in many countries have been opened to participants from foreign countries.']",2
What natural therapy works best for seasonal depression and low moods due to sleep deprivation?,"['Water therapy', 'Bright light therapy', 'Aromatherapy', 'Massage']",1
Stereopsis is a process in visual perception giving the organism a sensation of what?,"['Color', 'Width', 'Depth', 'Movement']",2
Scientists are using this animal to try and find a vaccine for leprosy.,"['Armadillos', 'Poison dart frogs', 'Sea Urchins', 'Bats']",0
For the removal of which of these waste products is blood responsible?,"['Lactic acid', 'Carbon dioxide', 'All of these', 'Urea']",2
This substance is naturally present in water. It keeps the enamel strong and can stop or even reverse the process of tooth decay.,"['Nitrite', 'Nitrate', 'Chlorine', 'Fluoride']",3
"The Shaanxi earthquake is regarded as the deadliest recorded earthquake, killing approximately 830,000 people. It occurred on February 14, 1556 in this country.","['Thailand', 'Japan', 'Russia', 'China']",3
The division of a company or university that deals with software technology is often called the IT department. What does IT stand for?,"['Inter-networking Technology', 'Informatics and Technology', 'Information Technology', 'Internet Technology']",2
When was the Hubble Space Telescope put into orbit by the Space Shuttle?,"['1991', '1992', '1990', '1993']",2
