question,choices,answer
What funds were used in the founding of the British Museum?,"['A single bequest of Lord Henry Dinsdale', 'Fund raising among the nobility of Europe', 'Multiple Royal bequests', 'National Lottery']",3
What does the term baseball diamond denote?,"['An award', 'A female baseball player', 'Baseball field', 'A title given to the greatest baseball players']",2
"What is the color of pure gold, which it maintains without oxidizing in air and water?","['Bright yellow', 'Pale yellow', 'Pale orange-yellow', 'Ivory']",0
What was the name of Ted Dansons character in Cheers?,"['Dan', 'Sam', 'Dom', 'Joe']",1
How much did Harvard Universitys tuition and fees total for the 1958-1959 school year?,"['$2,925', '$3,225', '$1,250', '$5,110']",2
The album Whitesnake 1987 by Whitesnake included three of these songs. Which is the odd one?,"['Here I Go Again', 'Fool For Your Loving', 'Still Of The Night', 'Is This Love']",1
What 1951 film did Humphrey Bogart win an Oscar for?,"['The Barefoot Contessa', 'The Caine Mutiny', 'African Queen', 'Casablanca']",2
Which ancient language is often referred to as the the mother of all languages?,"['Sanskrit', 'Tamil', 'Latin', 'Hebrew']",0
People suffering from pediophobia would be afraid of which of the following?,"['Pregnant mothers', 'Foot doctors', 'Bicycles', 'Cabbage patch kids']",3
"In the pirate freecreditreport.com ad, who stole the mans identity?","['a hacker', 'the Packers', 'a Quaker', 'a slacker']",0
What did Earl Bakk and Clarence W. Lillehie invent in 1957?,"['Liquid oxygen jet fuel', 'Internal heart pacemaker', 'High Definition Television', 'Artificial heart']",1
"This aircraft, introduced in 1956, is the main transport plane used by the United States Military.","['C-130', 'Boeing 777', 'Citation X', 'Gulf Stream G5']",0
What is the fourth estate?,"['the clergy', 'the nobles', 'the commoners', 'the press']",3
"If the world were a village of 1000 people, how many acres of land would be in the village?","['6000', '12000', '4000', '25000']",0
Which was the first TV sitcom?,"['The Goldbergs', 'Mary Kay and Johnny', 'I Love Lucy', 'The Dobkins']",1
"What is black color, or kuro, associated with in Japanese tradition?","['Experience', 'Age', 'All of these', 'Nobility']",2
When is the expression seeing pink elephants most often used?,"['when you are dizzy', 'when you see a ghost', 'when people are drunk', 'when going to sleep']",2
USA boycotted the 1980 Summer Olympics held in what city?,"['Tehran', 'Moscow', 'Beijing', 'Prague']",1
How long does it take for moonlight to reach the Earth?,"['About 8 minutes', 'About 3 minutes', 'Less than 3 seconds', 'About 30 seconds']",2
"This movie, directed by Stanley Kubrick, stars Malcolm McDowell as Alex DeLarge.","['A Backward Peach', 'A Future of  Red', 'A Clockwork Orange', 'Soylent Green']",2
"In the movie, Short Circuit, what is Number 5s original function?","['Security System', 'Mechanic', 'A Butler', 'Weapon']",3
At what angle is the Earth tilted?,"['23.5 degrees', '90 radians', '45 radians', '45 degrees']",0
What was the cause of the fire in the movie The Towering Inferno?,"['Short circuit in the elevator shaft', 'A loose lid on a can of kerosene stored in a closet', 'Faulty electrical wiring', 'Arson']",2
"A major earthquake struck this city in 1906, killing almost 3,000 people.","['Taipei', 'Wellington', 'Tokyo', 'San Francisco']",3
What day is commonly called Black Friday in the United States?,"['The Friday after Easter', 'The first Friday of the year', 'The Friday after Thanksgiving', 'Friday the 13th']",2
"What is the official name of Rhode Island, the 13th US state?","['The State of Rhode Island and Providence Plantations', 'The Commonwealth of Rhode Island and Narragansett Bay', 'The Commonwealth of Rhode Island', 'The State of Rhode Island and Narragansett Bay']",0
In what year did the last veteran of the American Civil War die?,"['1944', '1949', '1958', '1936']",2
Which word goes with the Oriental symbol Yang?,"['Tao', 'Yin', 'Sutra', 'Ying']",1
What company introduced its popular entertainment system in 1985?,"['Magnavox', 'Sega', 'Nintendo', 'Atari']",2
"According to geologists, in which era do we live?","['Mesozoic', 'Cenozoic', 'Simpsonian', 'Quaternary']",1
Which is not a shade of purple?,"['Heliotrope', 'Mountbatten pink', 'Vermilion', 'Thistle']",2
What actor portrayed James Bond in the 1971 movie Diamonds Are Forever?,"['George Lazenby', 'Roger Moore', 'Timothy Dalton', 'Sean Connery']",3
Which is the correct definition for oxter?,"['the armpit', 'having much snow', 'walrus ivory', 'to polish']",0
How many engines does a B-52 Bomber have?,"['2', '8', '4', '6']",1
Which planet is 5th from the sun?,"['Jupiter', 'Saturn', 'Mars', 'Earth']",0
Sugar is important for the proper function of which of these bodily systems?,"['Cardiovascular system', 'Endocrine system', 'Nervous system', 'Digestive system']",2
"I tried to run away, but I couldnt get far due to my agyrophobia. What was I afraid of?","['Getting a muscle cramp', 'Crossing roads', 'Grass', 'Driving']",1
What actor portrayed agent James Bond in the 1964 movie Goldfinger?,"['Timothy Dalton', 'Sean Connery', 'Roger Moore', 'George Lazenby']",1
Why was the battle of Huai-Hai so important in world history?,"['It was the  battle that gave control of China to the Mongols', 'It was the final battle that drove Japan out of China in WWII', 'It was the last major battle between Chinese Communists and Chinese Nationalists', 'It was the last major Chinese-aided attack of the Vietnam War']",2
Who was Leonardo da Vincis art teacher?,"['Fra Luca Paccioli', 'Titian', 'Andrea del Verrocchio', 'Giotto di Bondone']",2
Where is General George Patton buried?,"['Normandy, France', 'Arlington National Cemetery', 'Washington, D.C.', 'Luxembourg']",3
What will happen very soon if the cat is washing its face according to Russian beliefs?,"['Guests will come.', 'It is going to rain.', 'Somebody will die.', 'Someone will get pregnant.']",0
Who was Elizabeth Taylors second husband?,"['Michael Wilding', 'Mike Todd', 'Nick Hilton', 'Eddie Fisher']",0
What chemical is added to table salt in some European countries to prevent tooth decay?,"['Calcium sulfate', 'Sodium fluoride', 'Potassium carbonate', 'Sodium nitrate']",1
Who was the first guest host on NBCs Saturday Night Live?,"['John  Goodman', 'Howard Cosell', 'George Carlin', 'Steve Martin']",2
What are the main ingredients of the traditional English dish Bubble and Squeak?,"['Potato and cabbage', 'Fish and ships', 'Sausage and cabbage', 'Bacon and eggs']",0
What is the favorite victim of The Hook according to the popular urban legend?,"['A drunkard', 'A young couple', 'An old woman', 'A naughty child']",1
What is the Choking Doberman from the popular urban legend choking on?,"['A human ear', 'Human fingers', 'A hairball', 'A dolls head']",1
"What herb, also known as starflower, has five small, blue or pink, triangular-pointed petals?","['Basil', 'Bay', 'Borage', 'Berberis']",2
Edward Nigma was the name of which fictional character?,"['Friday', 'Professor  Moraiarity', 'The Riddler', 'The  Joker']",2
Which term refers to the morbid fear of thunderstorms?,"['Triskadekaphobia', 'Xylophobia', 'Chionophobia', 'Brontophobia']",3
Which 1955 movie won four Academy Awards?,"['Marty', 'Forrest Gump', 'Crash', 'The Wizard of Oz']",0
A great step forward in the world of pencils was made in 1858. What was it?,"['Sears-Roebuck began selling pencils in their catalog.', 'Hyman Lipman began putting an eraser on the end of pencils.', 'Sarah Teasdale Wallace patented the first indelible pencil.', 'Irving Kellogg Watson patented the first drawing pencils in different colors.']",1
This is the number of syllables in a haiku (a very short Japanese poetic form).,"['41', '35', '28', '17']",3
Where can you find a city named Orange?,"['California', 'All of these', 'Texas', 'Florida']",1
